 2.0000000   3.0000000   22.9979   3852.794 0.179  -11.5    0.9 0.14 -0.055  57   0 10:57:13     44473.45567    0.0000  2021/11/05
 2.0000000   3.0000000   22.0213   3852.793 0.084  -11.5    0.5 0.13 -0.055  57   0 10:58:14     44473.45638    0.0000  2021/11/05
 3.0000000   1.0000000   23.4861   3854.671 0.194   -3.1    0.1 0.12 -0.054  57   0 11:07:26     44473.46275    0.0000  2021/11/05
 3.0000000   1.0000000   23.2420   3854.671 0.056   -3.0   -0.2 0.12 -0.054  57   0 11:08:29     44473.46348    0.0000  2021/11/05
 3.0000000   1.0000000   22.0213   3854.673 0.166   -2.9   -0.6 0.12 -0.054  57   0 11:09:30     44473.46419    0.0000  2021/11/05
 4.0000000   3.0000000   23.7303   3852.769 0.260  -12.1   -4.7 0.12 -0.054  57   0 11:18:26     44473.47038    0.0000  2021/11/05
 4.0000000   3.0000000   23.7303   3852.771 0.090  -12.3   -5.3 0.12 -0.054  57   0 11:19:29     44473.47111    0.0000  2021/11/05
 4.0000000   3.0000000   22.7537   3852.775 0.267  -12.3   -5.9 0.12 -0.054  57   0 11:20:30     44473.47181    0.0000  2021/11/05
 5.0000000   6.0000000   23.7303   3849.806 0.237  -11.2   -6.0 0.11 -0.053  57   0 11:28:15     44473.47719    0.0000  2021/11/05
 5.0000000   6.0000000   23.7303   3849.811 0.185  -11.5   -6.1 0.12 -0.054  57   0 11:29:18     44473.47791    0.0000  2021/11/05
 5.0000000   6.0000000   22.9979   3849.815 0.176  -11.8   -6.6 0.12 -0.054  57   0 11:30:19     44473.47862    0.0000  2021/11/05
 6.0000000   3.0000000   24.2186   3852.789 0.165   -2.5    3.1 0.13 -0.054  57   0 11:36:37     44473.48299    0.0000  2021/11/05
 6.0000000   3.0000000   23.9744   3852.790 0.224   -2.3    2.3 0.13 -0.054  57   0 11:37:40     44473.48372    0.0000  2021/11/05
 6.0000000   3.0000000   23.2420   3852.787 0.270   -2.3    1.8 0.13 -0.054  57   0 11:38:41     44473.48442    0.0000  2021/11/05
 7.0000000   6.0000000   24.2186   3849.823 0.228   -7.6    1.4 0.12 -0.054  57   0 11:46:30     44473.48984    0.0000  2021/11/05
 7.0000000   6.0000000   24.4627   3849.823 0.156   -7.7    1.2 0.12 -0.054  57   0 11:47:33     44473.49057    0.0000  2021/11/05
 7.0000000   6.0000000   23.2420   3849.820 0.087   -7.7    0.9 0.12 -0.054  57   0 11:48:34     44473.49127    0.0000  2021/11/05
 1.0000000  100.0000000   23.9744   3856.701 0.048   -0.4   -0.3 0.28 -0.056  57   0 12:06:13     44473.50351    0.0000  2021/11/05
 1.0000000  100.0000000   23.9744   3856.702 0.043   -0.4   -0.4 0.27 -0.056  57   0 12:07:16     44473.50424    0.0000  2021/11/05
 1.0000000  100.0000000   23.7303   3856.703 0.068   -0.6   -0.4 0.27 -0.056  57   0 12:08:16     44473.50493    0.0000  2021/11/05
 1.0000000  100.0000000   23.7303   3856.702 0.050   -0.7   -0.4 0.25 -0.056  57   0 12:09:16     44473.50562    0.0000  2021/11/05
 1.0000000  100.0000000   23.7303   3856.702 0.042   -0.9   -0.5 0.24 -0.056  57   0 12:10:16     44473.50632    0.0000  2021/11/05
